,Name,Position,TeamAbbrev,Vegas Total,VEGAS,Salary,GPP ALGO,Last 4,L4: Value,Proj #1,Proj #2,Custom,Avg Proj,DVP L14,DVP L14 %ofFP,ID,AvgPointsPerGame
77,Patrick Beverley,PG/SG,LAC,108.75,9.5,4900,,27.2,5.5,24.6,23.6,24.4,24.2,55.3,24.20%,Patrick Beverley (12151584),24.6
78,Bogdan Bogdanovic,SG/SF,SAC,110.5,6.5,4900,,26.8,5.5,30.0,26.5,27.6,28.0,44.2,19.80%,Bogdan Bogdanovic (12151593),30.0
79,Kelly Olynyk,C/PF,MIA,107.25,9.0,4900,,28.8,5.9,21.3,20.0,20.5,20.6,47.2,19.30%,Kelly Olynyk (12151629),21.3
8,Andre Drummond,C,DET,107.5,4.0,9000,,54.3,6.0,45.1,43.2,44.4,44.2,52.7,22.10%,Andre Drummond (12151285),45.1
80,Dion Waiters,SG/SF,MIA,107.25,9.0,4900,,29.4,6.0,25.6,17.4,17.8,20.2,46.1,18.80%,Dion Waiters (12151588),25.6
81,Eric Gordon,SG/SF,HOU,116.0,-4.5,4800,,30.3,6.3,25.4,24.9,26.7,25.6,46.7,18.90%,Eric Gordon (12151598),25.4
82,Joakim Noah,C,MEM,108.5,-3.0,4800,,35.3,7.4,25.9,25.0,25.9,25.6,53.7,23.60%,Joakim Noah (12151603),25.9
83,Cheick Diallo,C/PF,NOR,116.5,5.5,4800,,29.1,6.1,20.7,16.0,17.2,18.0,47.4,20.30%,Cheick Diallo (12151605),20.7
84,Marcus Morris,SF/PF,BOS,114.5,-2.5,4700,,22.8,4.8,25.2,25.6,27.3,26.0,47.9,22.20%,Marcus Morris (12151625),25.2
85,Jeff Green,C/PF,WAS,116.0,5.5,4700,,21.1,4.5,25.9,22.4,24.0,24.1,46.7,21.80%,Jeff Green (12151616),25.9
86,Goran Dragic,PG,MIA,107.25,9.0,4700,,16.1,3.4,21.7,21.6,22.2,21.8,53.8,22.00%,Goran Dragic (12151613),21.7
87,Derrick Favors,C/PF,UTA,118.25,-9.5,4600,,33.3,7.2,29.2,24.2,26.2,26.5,55.8,24.30%,Derrick Favors (12151645),29.2
88,Harrison Barnes,SF/PF,SAC,110.5,6.5,4600,,25.8,5.6,26.5,29.6,30.9,29.0,43.7,19.60%,Harrison Barnes (12151637),26.5
89,Thomas Bryant,C/PF,WAS,116.0,5.5,4600,,28.9,6.3,20.0,21.0,22.5,21.2,54.7,25.50%,Thomas Bryant (12151633),20.0
9,Bradley Beal,SG,WAS,116.0,5.5,8900,,58.5,6.6,45.1,46.0,49.3,46.8,41.2,19.20%,Bradley Beal (12151287),45.1
90,Derrick White,PG/SG,SAS,112.0,-4.0,4600,,26.4,5.7,26.3,21.3,22.4,23.3,42.2,18.90%,Derrick White (12151641),26.3
91,Jaylen Brown,SG/SF,BOS,114.5,-2.5,4600,,28.7,6.2,21.3,21.2,22.6,21.7,37.6,17.40%,Jaylen Brown (12151649),21.3
92,Brook Lopez,C,MIL,115.5,-6.5,4500,,31.1,6.9,26.0,26.9,28.8,27.2,66.5,27.30%,Brook Lopez (12151671),26.0
93,Joe Harris,SG/SF,BKN,121.0,-5.5,4500,,27.4,6.1,27.4,26.4,29.0,27.6,44.7,17.60%,Joe Harris (12151661),27.4
94,Robin Lopez,C,CHI,105.0,3.0,4500,,33.4,7.4,22.4,22.9,23.2,22.8,47.9,21.20%,Robin Lopez (12151657),22.4
95,Taurean Prince,SF,ATL,116.0,5.0,4500,,25.3,5.6,25.0,29.1,31.2,28.4,42.2,18.40%,Taurean Prince (12151673),25.0
96,Willie Cauley-Stein,C,SAC,110.5,6.5,4500,,22.3,4.9,26.1,28.7,30.0,28.3,52.7,23.60%,Willie Cauley-Stein (12151659),26.1
97,Wesley Matthews,SG/SF,IND,108.25,-1.0,4500,,23.4,5.2,22.8,22.4,23.1,22.8,45.5,18.10%,Wesley Matthews (12151666),22.8
98,Tyus Jones,PG,MIN,120.0,-5.0,4500,,22.2,4.9,24.1,12.8,14.0,17.0,55.4,23.50%,Tyus Jones (12151654),24.1
99,Marvin Williams,SF/PF,CHA,111.5,4.5,4400,,22.8,5.2,27.8,21.9,23.0,24.2,48.6,21.10%,Marvin Williams (12151678),27.8
